日期,點擊,曝光,點閱率,排名
2025-06-02,1,46,2.17%,13
2025-06-03,0,40,0%,11.1
2025-06-04,3,39,7.69%,14.4
2025-06-05,2,51,3.92%,10.3
2025-06-06,4,31,12.9%,8.1
2025-06-07,3,63,4.76%,9.2
2025-06-08,5,142,3.52%,7.9
2025-06-09,2,142,1.41%,7.5
2025-06-10,4,152,2.63%,7.6
2025-06-11,1,211,0.47%,8
2025-06-12,2,165,1.21%,7.6
2025-06-13,1,114,0.88%,8.9
2025-06-14,0,76,0%,9.2
2025-06-15,6,125,4.8%,6.9
2025-06-16,1,176,0.57%,7.4
2025-06-17,0,131,0%,8.6
2025-06-18,2,166,1.2%,8.1
2025-06-19,1,145,0.69%,8.2
2025-06-20,1,87,1.15%,8.1
2025-06-21,1,83,1.2%,9
2025-06-22,4,117,3.42%,7.7
2025-06-23,2,83,2.41%,8.2
2025-06-24,0,107,0%,8.9
2025-06-25,1,89,1.12%,9.2
2025-06-26,2,81,2.47%,14.7
2025-06-27,2,97,2.06%,13.2
2025-06-28,4,74,5.41%,10.9
2025-06-29,1,97,1.03%,11.5
2025-06-30,2,106,1.89%,10
2025-07-01,0,96,0%,9.6
2025-07-02,0,81,0%,12.3
2025-07-03,1,74,1.35%,12.3
2025-07-04,1,67,1.49%,11.9
2025-07-05,0,36,0%,13.9
2025-07-06,1,46,2.17%,15.1
2025-07-07,2,58,3.45%,10.4
2025-07-08,1,33,3.03%,11.1
2025-07-09,1,50,2%,9.9
2025-07-10,1,46,2.17%,14.3
2025-07-11,0,32,0%,13.2
2025-07-12,0,33,0%,13.4
2025-07-13,1,33,3.03%,11.4
2025-07-14,1,31,3.23%,18.8
2025-07-15,0,83,0%,12.3
2025-07-16,3,27,11.11%,12.2
2025-07-17,2,55,3.64%,12.3
2025-07-18,1,55,1.82%,15.6
2025-07-19,1,60,1.67%,12.2
2025-07-20,1,61,1.64%,14.4
2025-07-21,3,48,6.25%,14.2
2025-07-22,0,99,0%,11.2
2025-07-23,2,112,1.79%,12
2025-07-24,1,103,0.97%,11.3
2025-07-25,0,58,0%,10.2
2025-07-26,0,43,0%,12.4
2025-07-27,1,115,0.87%,9.4
2025-07-28,0,110,0%,10.4
2025-07-29,0,112,0%,9.8
2025-07-30,4,75,5.33%,11.5
2025-07-31,2,24,8.33%,16.4
2025-08-01,1,22,4.55%,22
2025-08-02,0,29,0%,23.2
2025-08-03,0,27,0%,12.8
2025-08-04,2,34,5.88%,16
2025-08-05,3,44,6.82%,10
2025-08-06,3,32,9.38%,16.2
2025-08-07,5,41,12.2%,12.4
2025-08-08,4,52,7.69%,14.6
2025-08-09,4,32,12.5%,11.6
2025-08-10,0,30,0%,13.1
2025-08-11,5,46,10.87%,10.7
2025-08-12,3,45,6.67%,6.7
2025-08-13,2,34,5.88%,10.6
2025-08-14,4,33,12.12%,13
2025-08-15,0,39,0%,13.6
2025-08-16,2,31,6.45%,15.1
2025-08-17,2,38,5.26%,11.9
2025-08-18,5,55,9.09%,11
2025-08-19,3,41,7.32%,11.7
2025-08-20,1,34,2.94%,13.7
2025-08-21,2,39,5.13%,9.7
2025-08-22,0,28,0%,14
